 Message (if any),رسالة (اختياري)
Action if Same Rate is Not Maintained Throughout  Internal Transaction,الإجراء في حالة عدم الحفاظ على نفس المعدل طوال المعاملة الداخلية
Action if Same Rate is Not Maintained Throughout Sales Cycle,الإجراء إذا لم يتم الحفاظ على نفس السعر طوال دورة المبيعات
Action Initialised,العمل مهيأ
Action Label,تسمية الإجراء
Action on New Invoice,الإجراء عند إنشاء فاتورة جديدة
Action on Submission,العمل على التقديم
Action Timeout (Seconds),مهلة الإجراء (ثانية)
Action Type,نوع العمل
Actions,الإجراءات
Actions performed,الإجراءات المنجزة
Activate,تفعيل
Active,نشط
active,نشط
Active Assist,مساعدة نشطة
Active Directory,Active Directory
Active Domains,المجالات النشطة
Active Leads,العروض النشطة
Active Menu,القائمة النشطة
Active Only,النشطة فقط
Active Sessions,الجلسات النشطة
Active Shift Detected,تنبيه: الوردية مفتوحة
Active Status,الحالة النشطة
Active Warehouse,المستودع النشط
Activities,أنشطة
Activity,نشاط
Activity Cost,تكلفة النشاط
Activity Cost exists for Employee {0} against Activity Type - {1},تكلفة النشاط موجودة للموظف {0} مقابل نوع النشاط - {1}
Activity Cost per Employee,تكلفة النشاط لكل موظف
Activity Date,تاريخ النشاط
Activity Log,سجل النشاط
Activity Name,اسم النشاط
Activity Type,نوع النشاط
Actual,فعلي
Actual Amount,الكمية الفعلية
Actual Amount *,المبلغ الفعلي *
Actual Balance Qty,كَمَيَّة الرصيد الفعلي
Actual balances aren't available because the leave application spans over different leave allocations. You can still apply for leaves which would be compensated during the next allocation.,الأرصدة الفعلية غير متوفرة لأن تطبيق الإجازة يمتد على مخصصات إجازة مختلفة. لا يزال بإمكانك التقدم بطلب للحصول على الأوراق التي سيتم تعويضها أثناء التخصيص التالي.
Actual Batch Quantity,كمية الدفعة الفعلية
Actual Cost,التكلفة الفعلية
Actual Date,التاريخ الفعلي
Actual Delivery Date,تاريخ التسليم الفعلي
Actual Encashable Days,الأيام الفعلية القابلة للتنفيذ
Actual End Date,تاريخ الإنتهاء الفعلي
Actual End Date (via Timesheet),تاريخ الإنتهاء الفعلي (عبر ورقة الوقت)
Actual End Time,الفعلي وقت الانتهاء
Actual Expense,المصروفات الفعلية
Actual Operating Cost,الفعلية تكاليف التشغيل
Actual Operation Time,الفعلي وقت التشغيل
Actual Posting,النشر الفعلي
Actual Qty,الكمية الفعلية
Actual Qty (at source/target),الكمية الفعلية (في المصدر / الهدف)
Actual Qty {0} / Waiting Qty {1},الكمية الفعلية {0} / الكمية المنتظره {1}
Actual Qty After Transaction,الكمية الفعلية بعد العملية
Actual qty in stock,الكمية الفعلية في المخزون
Actual Qty in Warehouse,الكمية الفعلية في المستودع
Actual Qty is mandatory,الكمية الفعلية هي إلزامية
Actual Qty: Quantity available in the warehouse.,الكمية الفعلية : الكمية المتوفرة في المستودع.
Actual Quantity,الكمية الفعلية
Actual Start Date,تاريخ البدء الفعلي
Actual Start Date (via Timesheet),تاريخ البدء الفعلي (عبر ورقة الوقت)
Actual Start Time,الفعلي وقت البدء
Actual Stock,الرصيد الفعلي
Actual Stock:,المخزون الفعلي:
Actual Time,الوقت الفعلي
Actual Time and Cost,الوقت الفعلي والتكلفة
Actual Time in Hours (via Timesheet),الوقت الفعلي (بالساعات)
Actual type tax cannot be included in Item rate in row {0},نوع الضريبة الفعلي لا يمكن تضمينه في معدل الصنف في الصف {0}
Add,إضافة
Add {0},إضافة {0}
Add {0} more to unlock,أضف {0} للحصول على العرض
Add / Edit Prices,إضافة و تعديل الأسعار
Add / Edit Taxes and Charges,إضافة / تعديل الضرائب والرسوم
Add / Manage Email Accounts.,إضافة / إدارة حسابات البريد الإلكتروني.
Add / Remove Columns,إضافة / إزالة أعمدة
Add / Update,إضافة / تحديث
Add a {0} Chart,أضف مخطط {0}
Add a comment,إضافة تعليق
Add a Filter,إضافة عامل تصفية
Add a new address,أضف عنوانا جديدا
Add a New Role,إضافة دور جديد
Add A New Rule,إضافة قاعدة جديدة
Add a new section,إضافة قسم جديد
Add a Note,إضافة ملاحظة
Add a Row,إضافة صف
Add a row above the current row,إضافة صف فوق الصف الحالي
Add a row at the bottom,إضافة صف في الأسفل
Add a row at the top,إضافة صف في الأعلى
Add a row below the current row,إضافة صف أسفل الصف الحالي
Add another...,إضافة المزيد...
Add Article to Topics,أضف المادة إلى المواضيع
Add Attachment,إضافة مرفق
Add Background Image,إضافة صورة خلفية
Add Border at Bottom,إضافة حد سفلي
Add Border at Top,إضافة حد علوي
Add Card to Dashboard,إضافة بطاقة إلى لوحة المعلومات
Add cards or custom sections on homepage,إضافة بطاقات أو أقسام مخصصة على الصفحة الرئيسية
Add Chart to Dashboard,إضافة مخطط إلى لوحة القيادة
Add Child,إضافة الطفل
Add column,إضافة عمود
Add Column,إضافة عمود
Add Columns in Transaction Currency,إضافة أعمدة في عملة المعاملات
Add Comment,أضف تعليق
Add Contact,إضافة جهة اتصال
Add Contacts,اضف جهات اتصال
Add Container,أضف الحاوية
Add Corrective Operation Cost in Finished Good Valuation,إضافة تكلفة العملية التصحيحية في التقييم الجيد النهائي
Add Course to Programs,إضافة دورة إلى البرامج
Add Custom Tags,إضافة علامات مخصصة
Add Customers,إضافة العملاء
Add Day-wise Dates,أضف تواريخ نهارية
Add details,إضافة تفاصيل
Add Discount,إضافة خصم
Add Employee Property,إضافة ممتلكات الموظف
Add Employees,إضافة موظفين
Add Exercise Step,أضف خطوة التمرين
Add Exercises,أضف تمارين
Add Expense,أضف المصاريف
Add Feedback,أضف ردود الفعل
Add field,إضافة حقل
Add Filters,إضافة عوامل تصفية
Add Gray Background,أضف خلفية رمادية
Add Group,إضافة مجموعة
Add Guardians to Email Group,أضف الأوصياء إلى مجموعة البريد الإلكتروني
Add Indexes,إضافة فهارس
Add Item,اضافة بند
Add Items,إضافة بنود
Add items in the Item Locations table,أضف عناصر في جدول &quot;مواقع العناصر&quot;
Add Items in the Purpose Table,إضافة عناصر في جدول الأغراض
Add items to the cart before applying an offer.,أضف أصنافاً للسلة قبل تطبيق العرض.
Add items to your cart to see eligible offers,أضف منتجات للسلة لرؤية العروض المؤهلة
Add Lead to Prospect,تحويل العميل المحتمل إلى عميل مؤهل
Add Leads,إضافة العملاء المحتملين
Add letterhead,إضافة ترويسة
Add Local Holidays,إضافة العطل المحلية
Add Manually,أضف يدويّاً
Add Medication Orders,أضف طلبات الأدوية
Add more items or open full form,إضافة المزيد من البنود أو فتح نموذج كامل
Add Multiple,إضافة متعددة
Add Multiple Tasks,إضافة مهام متعددة
Add New,Add New
Add New,Add New
Add New Line,أضف سطر جديد
Add New Permission Rule,إضافة قاعدة صلاحيات جديدة
Add new tab,إضافة علامة تبويب جديدة
Add notes,أضف ملاحظات
Add or Deduct,إضافة أو خصم
Add Or Deduct,إضافة أو خَصْم
Add Order Discount,أضف خصم الطلب
Add page break,إضافة فاصل صفحات
Add Participants,أضف مشاركين
Add Payment,إضافة دفعة
Add Query Parameters,إضافة معلمات الاستعلام
Add Quiz to Topics,أضف مسابقة إلى المواضيع
Add Quote,إضافة  عرض سعر
Add Raw Materials,إضافة مواد خام
Add Receipt / Attachment,إضافة إيصال / مرفق
Add Review,إضافة مراجعة
Add Review,إضافة مراجعة
Add Roles,إضافة أدوار
Add Row,إضافة صف
Add Sales Partners,إضافة شركاء المبيعات
Add script for Child Table,إضافة البرنامج النصي لجدول الطفل
Add section above,إضافة قسم أعلاه
Add section below,إضافة قسم أدناه
Add Serial / Batch Bundle,إضافة حزمة تسلسلية / دفعية
Add Serial / Batch No,إضافة الرَّقْم التسلسلي / رَقْم الدفعة
Add Serial / Batch No (Rejected Qty),إضافة الرَّقْم تسلسلي / دفعة (الكَمَيَّة المرفوضة)
Add Serial No,إضافة رقم تسلسلي
Add Signature,إضافة التوقيع
Add Space at Bottom,إضافة مساحة في الأسفل
Add Space at Top,إضافة مساحة في الأعلى
Add Split,إضافة تقسيم
Add Stock,إضافة مخزونا
Add Students,أضف طلاب
Add Sub Assembly,إضافة مجموعة فرعية
Add Subscribers,إضافة المشتركين
Add Suppliers,إضافة الموردين
Add tab,إضافة علامة تبويب
Add Tags,إضافة علامات
Add Tax,أضف الضريبة
Add Template,إضافة قالب
Add Test,إضافة اختبار
Add the rest of your organization as your users. You can also add invite Customers to your portal by adding them from Contacts,أضف بقية أفراد مؤسستك كمستخدمين. يمكنك أيضا إضافة دعوة العملاء إلى بوابتك عن طريق إضافتهم من جهات الاتصال
Add Time Slots,إضافة فترة زمنية
Add Timesheets,إضافة جداول زمنية
Add Timeslots,إضافة فسحات زمنية
Add to cart,أضف إلى السلة
Add to Cart,أضف إلى السلة
Add to Courses,أضف إلى الدورات
Add to Dashboard,إضافة إلى لوحة القيادة
Add to Details,إضافة إلى التفاصيل
Add to Featured Item,إضافة إلى البند المميز
Add to Holidays,أضف إلى الإجازات
Add to Programs,أضف إلى البرامج
Add to Prospect,أضف إلى احتمال
Add to table,إضافة إلى الجدول
Add to this activity by mailing to {0},أضف إلى هذا النشاط عن طريق إرسال بريد إلكتروني إلى {0}
Add to ToDo,أضف إلى ToDo
Add to Topics,أضف إلى المواضيع
Add to Transit,أضف إلى Transit
Add Topic to Courses,إضافة موضوع إلى الدورات
Add Total Row,إضافة صف الإجمالي
Add Translate Data,إضافة بيانات الترجمة
Add Unsubscribe Link,إضافة رابط إلغاء الاشتراك
Add unused leaves from previous allocations,إضافة الاجازات غير المستخدمة من المخصصات السابقة
Add unused leaves from previous leave period's allocation to this allocation,أضف أوراق غير مستخدمة من تخصيص فترة الإجازة السابقة لهذا التخصيص
Add User Permissions,إضافة أذونات المستخدم
Add Users to Marketplace,إضافة مستخدمين إلى السوق
Add Video Conferencing,إضافة مؤتمر فيديو
Add Weekly Holidays,أضف عطلات أسبوعية
Add your review,إضافة تقييمك
Add/Edit Coupon Conditions,إضافة / تحرير شروط القسيمة
Add/Remove Recipients,إضافة / إزالة المستلمين
Add/Update Filter,Add/Update Filter
Add/Update Filter,Add/Update Filter
added,added
added,added
Added,تم الاضافة
Added {0} ({1}),وأضاف {0} ({1})
Added {0} users,تمت إضافة {0} مستخدمين
Added {1} Role to User {0}.,تمت إضافة دور {1} إلى المستخدم {0}.
Added By,أضيف من قبل
Added default log doctypes: {},تمت إضافة أنواع مستندات السجل الافتراضية: {}
"Added HTML in the &lt;head&gt; section of the web page, primarily used for website verification and SEO",وأضاف HTML في القسم &lt;head&gt; من صفحة الويب، تستخدم في المقام الأول للتحقق من الموقع وSEO
Added On,تمت إضافته في
added rows for {0},أضاف صفوفًا لـ {0}
Added Supplier Role to User {0}.,تمت إضافة دور المورد إلى المستخدم {0}.
Added tax components from the Salary Component master as the salary structure didn't have any tax component.,المكونات الضريبية المضافة من ماجستير مكون الراتب حيث أن هيكل الرواتب لم يكن لديه أي مكون ضريبي.
Added to details,تم اضافته الى التفاصيل
Added to Featured Items,تمت الإضافة إلى العناصر المميزة
Adding Lead to Prospect...,جاري تحويل العميل المحتمل إلى عميل مؤهل...
Adding Order Entries,إضافة إدخالات الطلب
Additional,الإضافية
Additional {0} {1} of item {2} required as per BOM to complete this transaction,Additional {0} {1} of item {2} required as per BOM to complete this transaction
Additional {0} {1} of item {2} required as per BOM to complete this transaction,Additional {0} {1} of item {2} required as per BOM to complete this transaction
Additional Amount,مبلغ إضافي
Additional Asset Cost,تكلفة الأصول الإضافية
Additional Cost,تكلفة إضافية
Additional Cost Per Qty,التكلفة الإضافية لكل كمية
Additional Costs,تكاليف إضافية
Additional Data,بيانات إضافية
Additional Details,تفاصيل اضافية
Additional Discount,خصم إضافي
Additional DIscount Amount,مقدار الخصم الاضافي
Additional Discount Amount,مبلغ الخصم الإضافي
Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount})
Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount}),Additional Discount Amount ({discount_amount}) cannot exceed the total before such discount ({total_before_discount})
Additional Discount Amount (Company Currency),مقدار الخصم الاضافي (بعملة الشركة)
Additional Discount and Coupon Code,خصم إضافي ورمز القسيمة
Additional DIscount Percentage,نسبة خصم إضافي
Additional Discount Percentage,نسبة الخصم الإضافية
Additional Info,معلومات اضافية
Additional Information,معلومة اضافية
Additional information regarding the customer.,معلومات إضافية عن الزبون.
Additional information regarding the patient,معلومات إضافية عن المريض
Additional Information updated successfully.,تم تحديث المعلومات الإضافية بنجاح.
Additional Notes,ملاحظات إضافية
Additional notes...,ملاحظات إضافية...
Additional Operating Cost,تكاليف تشغيل  اضافية
Additional Permissions,ضوابط إضافية
Additional PF,PF إضافية
Additional Salary,الراتب الإضافي
Additional Salary Component Exists.,مكون الراتب الإضافي موجود.
Additional Salary for referral bonus can only be created against Employee Referral with status {0},لا يمكن إنشاء راتب إضافي لمكافأة الإحالة إلا مقابل إحالة الموظف مع الحالة {0}
Additional Salary for this salary component with {0} enabled already exists for this date,راتب إضافي لهذا مكون الرواتب مع {0} ممكّن موجود بالفعل لهذا التاريخ
Additional Salary: {0} already exist for Salary Component: {1} for period {2} and {3},الراتب الإضافي: {0} موجود بالفعل لمكون الراتب: {1} للفترة {2} و {3}
Address,العنوان
Address & Contact,معلومات الاتصال والعنوان
Address & Contacts,معلومات الاتصال والعنوان
Address and Contact,العناوين و التواصل
Address And Contacts,العنوان و جهات الاتصال
Address and Contacts,عناوين واتصالات
Address and other legal information you may want to put in the footer.,العنوان وغيرها من المعلومات القانونية قد تحتاج لوضع في تذييل الصفحة.
Address Desc,معالجة التفاصيل
Address HTML,عنوان HTML
Address Line 1,العنوان سطر 1
Address Line 2,العنوان سطر 2
Address Name,اسم العنوان
Address needs to be linked to a Company. Please add a row for Company in the Links table.,يجب ربط العنوان بشركة. الرجاء إضافة صف للشركة في جدول الروابط.
Address of Organizer,عنوان المنظم
Address Template,نموذج العنوان
Address Title,إسم العنوان
Address Title is mandatory.,عنوان العنوان إلزامي.
Address Type,نوع العنوان
Address used to determine Tax Category in transactions,العنوان المستخدم لتحديد فئة الضريبة في المعاملات
Addresses,عناوين
Addresses And Contacts,العناوين و جهات الاتصال
Adds a custom client script to a DocType,يضيف برنامج نصي مخصص من جانب العميل إلى نوع مستند
Adds a custom field to a DocType,يضيف حقلاً مخصصًا إلى نوع مستند
adjust,ضبط
adjust,ضبط
Adjust Asset Value,تعديل قيمة الأصول
Adjust return quantities before submitting.\n\n{0},عدّل كميات الإرجاع قبل الإرسال.\n\n{0}
Adjustment Against,التعديل ضد
Adjustment based on Purchase Invoice rate,التعديل بناءً على سعر وَرقة الحساب
Administration,الادارة
Administrative Assistant,مساعد إداري
Administrative Expenses,نفقات إدارية
Administrative Officer,موظف إداري
Administrator,مدير
Administrator accessed {0} on {1} via IP Address {2}.,.{2} المسؤول ولج  {0} بتاريخ {1} عبر العنوان
Administrator can't follow,لا يمكن للمسؤول المتابعة
Administrator Logged In,تسجيل دخول مسؤول النظام
Admission,القبول
Admission and Enrollment,القبول والتسجيل
Admission End Date,تاريخ انتهاء القبول
Admission End Date should be greater than Admission Start Date.,يجب أن يكون تاريخ انتهاء القبول أكبر من تاريخ بدء القبول.
Admission Instruction,تعليمات القبول
Admission Order Details,تفاصيل أمر القبول
Admission Ordered For,أمر القبول ل
Admission Schedule Date,تاريخ التقديم المخطط
Admission Scheduled,التقديم مخطط
Admission Service Unit Type,نوع وحدة خدمة القبول
Admission Start Date,تاريخ بداية القبول
Admissions for {0},قبول ل {0}
Admit,يتقدم
Admitted,قُبل
Admitted Datetime,تاريخ ووقت التقديم
Adults' pulse rate is anywhere between 50 and 80 beats per minute.,معدل نبض البالغين في أي مكان بين 50 و 80 نبضة في الدقيقة الواحدة.
Advance,مقدما
Advance Account,حساب مقدم
Advance account currency should be same as company currency {0},يجب أن تكون عملة الحساب المسبق مماثلة لعملة الشركة {0}
Advance Account: {0} must be in either customer billing currency: {1} or Company default currency: {2},حساب الدفع المقدم: {0} يجب أن يكون إما بعملة فواتير العميل: {1} أو بعملة الشركة الافتراضية: {2}
Advance Amount,المبلغ مقدما
Advance amount,المبلغ مقدما
Advance amount cannot be greater than {0} {1},قيمة الدفعة المقدمة لا يمكن أن تكون أكبر من {0} {1}
Advance Paid,مسبقا المدفوعة
Advance paid against {0} {1} cannot be greater than Grand Total {2},لا يمكن أن يكون المبلغ المدفوع مقدمًا مقابل {0} {1} أكبر من الإجمالي الكلي {2}
Advance Payment,الدفع المسبق
Advance Payment Date,تاريخ الدفع المسبق
Advance Payment Ledger Entry,قيد دفتر الأستاذ للدفعات المقدمة
Advance Payment Status,حالة الدفعة المقدمة
Advance Payments,دفعات مقدمة
Advance payments allocated against orders will only be fetched,سيتم جلب الدفعات المقدمة المخصصة للطلبات فقط
Advance Tax,الضريبة المسبقة
Advance Taxes and Charges,الضرائب والرسوم المسبقة
Advance Voucher No,Advance Voucher No
Advance Voucher No,Advance Voucher No
Advance Voucher Type,Advance Voucher Type
Advance Voucher Type,Advance Voucher Type
Advanced,متقدم
Advanced Control,تحكم متقدم
Advanced Filters,المرشحات المتقدمة
Advanced Search,البحث المتقدم
Advanced Settings,إعدادات متقدمة
Advances,الدفعات المقدمة
Advertisement,إعلان
Advertising,الدعاية
AE,AE
Aerospace,الفضاء
Affected Transactions,المعاملات المتأثرة
After,بعد
after,بعد
After Cancel,بعد الغاء
After Date,بعد التاريخ
After Delete,بعد الحذف
After Discard,بعد التجاهل
After Insert,بعد الإدراج
After payment completion redirect user to selected page.,اعاده توجيه المستخدم الى الصفحات المحدده بعد اكتمال عمليه الدفع
After Rename,بعد إعادة التسمية
After returns,بعد المرتجعات
After Save,بعد الحفظ
After Save (Submitted Document),بعد الحفظ (المستند المقدم)
After Submission,بعد الإرسال
After Submit,بعد تقديم
after_insert,أدخل_بعد
Afternoon,بعد الظهر
Against,مقابل
Against Account,مقابل الحساب
Against Blanket Order,ضد بطانية النظام
Against Customer Order {0},مقابل طلب العميل {0}
Against Default Supplier,ضد المورد الافتراضي
Against Delivery Note Item,ضد بند مذكرة التسليم
Against Docname,مقابل المستند
Against Doctype,DOCTYPE ضد
Against Document Detail No,مقابل المستند التفصيلى رقم
Against Document No,مقابل المستند رقم
Against Expense Account,مقابل حساب المصاريف
Against Income Account,مقابل حساب الدخل
Against Inpatient Medication Order,ضد طلب الأدوية للمرضى الداخليين
Against Inpatient Medication Order Entry,ضد إدخال طلب الأدوية للمرضى الداخليين
Against Journal Entry {0} does not have any unmatched {1} entry,قيد اليومية المقابل {0} لا يحتوى مدخل {1} غير مطابق
Against Journal Entry {0} is already adjusted against some other voucher,مدخل قيد اليومية {0} تم تعديله بالفعل لقسيمة أخرى
Against Pick List,Against Pick List
Against Pick List,مقابل قائمة الاختيار
Against Sales Invoice,مقابل فاتورة المبيعات
Against Sales Invoice Item,مقابل بند فاتورة المبيعات
Against Sales Order,مقابل طلب مبيعات
Against Sales Order Item,مقابل بند طلب مبيعات
Against Stock Entry,ضد دخول الأسهم
Against Supplier Invoice {0},مقابل فاتورة المورد {0}
Against Supplier Invoice {0} dated {1},مقابل فاتورة المورد {0} بتاريخ {1}
Against Voucher,مقابل إيصال
Against Voucher No,مقابل القسيمة رَقْم
Against Voucher Type,مقابل إيصال  نوع
Against: {0},مقابل: {0}
Age,عمر
Age ({0}),السن ({0})
Age (Days),(العمر (أيام
Ageing Based On,العمرعلى أساس
Ageing Range,مدى العمر
Ageing Range 1,مدى العمر 1
Ageing Range 2,مدى العمر 2
Ageing Range 3,مدى العمر 3
Ageing Range 4,الشيخوخة المدى 4
Ageing Report Based On,تقرير الشيخوخة على أساس
Ageing Report based on {0} up to {1},تقرير أعمار الديون بناءً على {0} حتى {1}
Agenda,جدول أعمال
Agent,وكيل
Agent Busy Message,رسالة الوكيل مشغول
Agent Details,تفاصيل الوكيل
Agent Group,مجموعة الوكيل
Agent Unavailable Message,رسالة عدم توفر الوكيل
Agents,عملاء
Aggregate a group of Items into another Item. This is useful if you are maintaining the stock of the packed items and not the bundled item,تجميع مجموعة من العناصر في عنصر آخر. يكون هذا مفيداً إذا كنت تحتفظ بمخزون العناصر المُجمَّعة وليس العنصر المضاف
Aggregate Field is required to create a number card,الحقل التجميعي مطلوب لإنشاء بطاقة رقمية
Aggregate Function Based On,مجموع وظيفة بناء على
Aggregate Function field is required to create a dashboard chart,حقل تجميع الوظائف مطلوب لإنشاء مخطط لوحة القيادة
"Aggregate group of **Items** into another **Item**. This is useful if you are bundling a certain **Items** into a package and you maintain stock of the packed **Items** and not the aggregate **Item**. \n\nThe package **Item** will have ""Is Stock Item"" as ""No"" and ""Is Sales Item"" as ""Yes"".\n\nFor Example: If you are selling Laptops and Backpacks separately and have a special price if the customer buys both, then the Laptop + Backpack will be a new Product Bundle Item.\n\nNote: BOM = Bill of Materials","تجميع مجموعة من **مواد ** لتشكيل مادة أخرى** . يفيد إذا كنت تجمع بعض المواد الى صنف جديد كما يمكنك من متابعة مخزون الصنف المركب** المواد** وليس مجموع ** المادة** .\n\nالمادة المركبة ** الصنف**  سيحتوي على ""صنف مخزني "" بقيمة ""لا"" و ""كصنف مبيعات "" بقيمة ""نعم "" على سبيل المثال: إذا كنت تبيع أجهزة الكمبيوتر المحمولة وحقائب الظهر بشكل منفصل لها سعر خاص اذا كان الزبون يشتري كلاهما ، اذاً اللاب توب + حقيبة الظهر ستكون صنف مركب واحد جديد. ملاحظة: المواد المجمعة = المواد المركبة"
Agreement Details,تفاصيل الاتفاقية
Agriculture,الزراعة
Agriculture (beta),الزراعة (تجريبي)
Agriculture Analysis Criteria,معايير التحليل الزراعي
Agriculture Manager,مدير الزراعة
Agriculture Task,مهمة زراعية
Agriculture User,مستخدم بالقطاع الزراعي
Air,هواء
Airline,الطيران
Alcohol Consumption (Past),استهلاك الكحول (الماضي)
Alcohol Consumption (Present),استهلاك الكحول (الحاضر)
Alert,إنذار
Alerts and Notifications,التنبيهات والإشعارات
Algorithm,الخوارزمية
Align,محاذاة
Align Labels to the Right,محاذاة التسميات إلى اليمين
Align Right,محاذاة اليمين
Align Value,محاذاة القيمة
align-center,محاذاة الوسط
align-center,محاذاة الوسط
align-justify,محاذاة-تبرير
align-justify,محاذاة-تبرير
align-left,محاذاة يسار
align-left,محاذاة يسار
align-right,محاذاة اليمين
align-right,محاذاة اليمين
ALL,جميع
All,الكل
All ({0}),الكل ({0})
All Accounts,جميع الحسابات
All Activities,جميع الأنشطة
All Activities HTML,جميع الأنشطة HTML
All Addresses.,جميع العناوين.
All allocated assets should be returned before submission,يجب إرجاع جميع الأصول المخصصة قبل التقديم
All allocations have been successfully reconciled,تمت تسوية جميع المخصصات بنجاح
All Assessment Groups,جميع مجموعات التقييم
All bank transactions have been created,تم إنشاء جميع المعاملات المصرفية
All BOMs,كل الأصناف المركبة
All cached data has been cleared successfully,تم تنظيف الذاكرة المؤقتة بنجاح
All communications including and above this shall be moved into the new Issue,يجب نقل جميع الاتصالات بما في ذلك وما فوقها إلى الإصدار الجديد
All Contact,جميع جهات الاتصال
All Contacts.,جميع جهات الاتصال.
All Customer Contact,كافة جهات اتصال العميل
All Customer Groups,جميع مجموعات العملاء
All customizations will be removed. Please confirm.,سيتم إزالة كافة التخصيصات. يرجى التأكيد.
All Day,كل يوم
All Departments,جميع الاقسام
All Employee (Active),جميع الموظفين (نشط)
All fields are necessary to submit the comment.,جميع الحقول ضرورية لإرسال التعليق.
All Goals,جميع الأهداف
All Healthcare Service Units,جميع وحدات خدمات الرعاية الصحية
All Images attached to Website Slideshow should be public,يجب أن تكون جميع الصور الملحقة لموقع معرض الصور على العام
All Invoices,جميع الفواتير
All invoices are either fully paid or unpaid,جميع الفواتير إما مدفوعة بالكامل أو غير مدفوعة
All invoices are fully paid,جميع الفواتير مدفوعة بالكامل
All Item Groups,كل مجموعات الأصناف
All Items,جميع العناصر
All items are already requested,جميع الأصناف مطلوبة بالفعل
All items from this invoice have already been returned,تم إرجاع جميع المنتجات من هذه الفاتورة بالفعل
All items have already been Invoiced/Returned,تم بالفعل تحرير / إرجاع جميع العناصر
All items have already been received,تم استلام جميع العناصر مسبقاً
All items have already been transferred for this Work Order.,جميع الإصناف تم نقلها لأمر العمل
All items in this document already have a linked Quality Inspection.,جميع العناصر في هذا المستند مرتبطة بفحص جودة.
All items loaded,تم تحميل جميع المنتجات
All items removed from cart,تم إفراغ السلة
All Jobs,جميع الوظائف
All Lead (Open),(جميع الزبائن المحتملين (مفتوح
All other ITC,جميع ITC الأخرى
All Other ITC,جميع مراكز التجارة الدولية الأخرى
All Parties,جميع الأطراف
"All possible Workflow States and roles of the workflow. Docstatus Options: 0 is ""Saved"", 1 is ""Submitted"" and 2 is ""Cancelled""","جميع حالات سير العمل الممكنة وأدوار سير العمل. خيارات حالة المستند: 0 هو ""محفوظ""، 1 هو ""مرسل"" و 2 هو ""ملغى"""
All Products,جميع المنتجات
All Products or Services.,جميع المنتجات أو الخدمات.
All Records,جميع السجلات
All Results,All Results
All Results,All Results
All Sales Partner Contact,بيانات الإتصال لكل شركاء البيع
All Sales Person,كل مندوبي المبيعات
All sales persons selected,تم تحديد كافة المندوبين
All Sales Transactions can be tagged against multiple **Sales Persons** so that you can set and monitor targets.,"يمكن ربط كافة عمليات المبيعات بعدة ""مناديب مبيعات"" بحيث يمكنك تعيين المستهدفات ومراقبتها."
All Sales Transactions can be tagged against multiple Sales Persons so that you can set and monitor targets.,يمكن وضع علامة على جميع معاملات المبيعات ضد عدة مندوبي مبيعات حتى تتمكن من تعيين الأهداف ومراقبتها.
All Status,جميع الحالات
All stock operations will use this warehouse. Stock quantities will refresh after saving.,جميع عمليات المخزون ستستخدم هذا المستودع. سيتم تحديث كميات المخزون بعد الحفظ.
All Student Admissions,قبول جميع الطلاب
All Submissions,جميع عمليات الإرسال
All Supplier Contact,بيانات اتصال جميع الموردين
All Supplier Groups,جميع مجموعات الموردين
All Supplier scorecards.,جميع نتائج الموردين
All Synced,تمت المزامنة بالكامل
All Territories,جميع الأقاليم
All the Comments and Emails will be copied from one document to another newly created document(Lead -> Opportunity -> Quotation) throughout the CRM documents.,سيتم نسخ جميع التعليقات ورسائل البريد الإلكتروني من مستند إلى مستند آخر تم إنشاؤه حديثًا (العميل المحتمل -> الفرصة -> عرض الأسعار) في جميع مستندات إدارة علاقات العملاء.
All the depreciations has been booked,تم حجز جميع الإهلاكات
All the items have been already returned.,تم إرجاع جميع الأصناف بالفعل.
All the mandatory Task for employee creation hasn't been done yet.,لم يتم تنفيذ جميع المهام الإلزامية لإنشاء الموظفين حتى الآن.
All the mandatory tasks for employee creation are not completed yet.,لم تكتمل جميع المهام الإلزامية لإنشاء الموظفين بعد.
"All the required items (raw materials) will be fetched from BOM and populated in this table. Here you can also change the Source Warehouse for any item. And during the production, you can track transferred raw materials from this table.",عميل محتمل
All these items have already been Invoiced/Returned,تم بالفعل إصدار فاتورة / إرجاع جميع هذه العناصر
All Time,All Time
All Time,All Time
All Types,جميع الأنواع
All Warehouses,جميع المخازن
All-uppercase is almost as easy to guess as all-lowercase.,جميع الأحرف الكبيرة تكون سهلة التخمين تقريبا كالأحرف الصغيرة
Allergies,الحساسية
"Allergies, Medical and Surgical History",الحساسية، التاريخ الطبي والجراحي
Allocate,تخصيص
Allocate Advances Automatically (FIFO),تخصيص السلف تلقائيا (الداخل أولا الخارج أولا)
Allocate Based On Leave Policy,تخصيص بناء على سياسة الإجازة
Allocate Leave,تخصيص إجازة
Allocate Leaves,تخصيص الأوراق
Allocate leaves to {0} employee(s)?,تخصيص الأوراق إلى {0} الموظف (s)؟
Allocate on Day,تخصيص في اليوم
Allocate Payment Amount,تخصيص مبلغ الدفع
Allocate Payment Based On Payment Terms,تخصيص الدفع على أساس شروط الدفع
